,Y_DGS1MO,Y_DGS3MO,Y_DGS6MO,Y_DGS1,Y_DGS2,Y_DGS3,Y_DGS5,Y_DGS7,Y_DGS10,Y_DGS20,Y_DGS30
2018-12-14,0.0002807216203941176,0.0008531678524172815,0.0002807216203941176,0.004520353656360245,0.002592943797404667,0.013738237958832637,0.013738237958832637,0.004520353656360245,0.007880462815669913,0.02395026619987486,0.002592943797404667
2019-01-11,0.0002807216203941176,0.0008531678524172815,0.00016102620275609394,0.002592943797404667,0.0008531678524172815,0.007880462815669913,0.02395026619987486,0.002592943797404667,0.013738237958832637,0.02395026619987486,0.0014873521072935117
2019-02-08,0.0004893900918477494,0.0002807216203941176,0.0002807216203941176,0.004520353656360245,0.002592943797404667,0.007880462815669913,0.007880462815669913,0.0014873521072935117,0.007880462815669913,0.007880462815669913,0.0014873521072935117
2019-03-08,0.0004893900918477494,0.0002807216203941176,0.0004893900918477494,0.002592943797404667,0.0014873521072935117,0.02395026619987486,0.007880462815669913,0.0014873521072935117,0.007880462815669913,0.013738237958832637,0.0014873521072935117
2019-04-05,0.0002807216203941176,0.0002807216203941176,0.00016102620275609394,0.002592943797404667,0.002592943797404667,0.04175318936560404,0.004520353656360245,0.0014873521072935117,0.0014873521072935117,0.013738237958832637,0.004520353656360245
2019-05-03,0.00016102620275609394,0.00016102620275609394,0.00016102620275609394,0.004520353656360245,0.0004893900918477494,0.002592943797404667,0.0014873521072935117,0.0014873521072935117,0.0008531678524172815,0.02395026619987486,0.004520353656360245
2019-05-31,0.0004893900918477494,0.00016102620275609394,0.00016102620275609394,0.0014873521072935117,0.0004893900918477494,0.02395026619987486,0.004520353656360245,0.002592943797404667,0.002592943797404667,0.02395026619987486,0.004520353656360245
2019-06-28,0.0004893900918477494,0.0002807216203941176,0.00016102620275609394,0.0008531678524172815,0.0008531678524172815,0.04175318936560404,0.0004893900918477494,0.0014873521072935117,0.007880462815669913,0.04175318936560404,0.007880462815669913
2019-07-26,0.0004893900918477494,0.00016102620275609394,0.0002807216203941176,0.002592943797404667,0.04175318936560404,0.007880462815669913,0.002592943797404667,0.007880462815669913,0.0008531678524172815,0.07278953843983153,0.002592943797404667
2019-08-23,0.0008531678524172815,0.0002807216203941176,0.0002807216203941176,0.002592943797404667,0.013738237958832637,0.02395026619987486,0.0008531678524172815,0.007880462815669913,0.002592943797404667,0.02395026619987486,0.004520353656360245
